,train_accuracy,test_accuracy,training_time,testing_time
Decision Tree,0.999944432537131,0.7894339957416607,0.6488432884216309,0.0033910274505615234
Random Forest,0.999944432537131,0.7731103619588361,2.5192644596099854,0.04971480369567871
SVM,0.9925698363935129,0.7819819020581973,46.41168212890625,7.329634189605713
Gradient Boosting,0.9961579068530558,0.8064229950319376,53.564125776290894,0.06535625457763672
ANN (MLP),0.9978011161121828,0.7919180269694819,82.21833539009094,0.02874612808227539
